medicineName,dosage,uses,details
Allear 2.5 Mg / 5 Ml Syrup 120 Ml,"2.5 MG, 5 ML, 120 ML, 5 ML, 120 ML",,Oral liquid formulation
Allear 5 Mg 20 Tab,5 MG,,Oral tablet formulation
Allerban,,Pharmacological Agent,Ketotifen fumarate
Allerban 1 Mg / 5 Ml Syrup 100 Ml,"1 MG, 5 ML, 100 ML, 5 ML, 100 ML",,Oral liquid formulation
Allerban S R 2 mg 20,2 MG,Pharmacological Agent,Ketotifen fumarate
Allerban S.r 2 Mg 20 Tab,2 MG,,Oral tablet formulation
Allerdep Nasal Spray 60 Ml,"60 ML, 60 ML",,Spray formulation
Allerfen 120 Mg 20 Tab (606643),120 MG,,Oral tablet formulation
Allerfen 180 mg 20,180 MG,Second-generation Antihistamine,Fexofenadine
Allerfen 60 mg 30,60 MG,Second-generation Antihistamine,Fexofenadine
Allergetone 10 mg 20,10 MG,Second-generation Antihistamine,Loratadine
Allergex 1.5% 20 Gm Cream,"20 G, 20 G, 1.5%",,Topical cream formulation
Allergex 20 mg 20,20 MG,Second-generation Antihistamine,Loratadine
Allergex Caffeine 20,,Second-generation Antihistamine,Loratadine + Caffeine
Allergex Cream 20 gm,20 G,Second-generation Antihistamine,Loratadine
Allergicasone 125 / 50 Mcg 140 Dose Nasal Spray 23 Gm,"50 MCG, 23 G, 23 G",,Spray formulation
Allergyl,,Second-generation Antihistamine,Loratadine
Allergyl 2 Mg / 5 Ml Syrup 120 Ml,"2 MG, 5 ML, 120 ML, 5 ML, 120 ML",Antihistamine,Oral liquid formulation
Allergyl 4 mg 20,4 MG,Second-generation Antihistamine,Loratadine
Allerzone Cream 25 gm,0.1%,Pharmacological Agent,Mometasone 0.1%
Allerzone Topical Lotion 20 ml,0.1%,Pharmacological Agent,Mometasone furoate 0.1%
Allevo 5 Mg 20 Tab,5 MG,,Oral tablet formulation
Allinphi 8 B 30 Tab,,,Oral tablet formulation
Allinphi Adult 30 Tab,,,Oral tablet formulation
Allur 50 Gm Whitening Cream,"50 G, 50 G",,Topical cream formulation
Aloekita Anti-Dandruff Shampoo 200 Ml,"200 ML, 200 ML",,Pharmaceutical preparation
Aloekita Ds Da Caffeine Rich Shampoo 250 Ml,"250 ML, 250 ML",Stimulant,Caffeine - Central nervous system stimulant
Aloekita Hair Mask 200 Gm,"200 G, 200 G",,Pharmaceutical preparation
Aloekita Hair Shampoo 200 Ml,"200 ML, 200 ML",,Pharmaceutical preparation
Aloekita Hair Spray 200 Ml,"200 ML, 200 ML",,Spray formulation
Alojoba Hair Cream 150 Gm,"150 G, 150 G",,Topical cream formulation
Alojoba Hair Cream 250 Gm,"250 G, 250 G",,Topical cream formulation
Alojoba Hair Lotion 125 Ml,"125 ML, 125 ML",,Pharmaceutical preparation
Alojoba Hair Oil 125 Ml,"125 ML, 125 ML",,Pharmaceutical preparation
Alojoba Hair Serum 120 Ml,"120 ML, 120 ML",,Pharmaceutical preparation
Alojoba Hair Serum 70 Ml,"70 ML, 70 ML",,Pharmaceutical preparation
Alojoba Shampoo 250 Ml,"250 ML, 250 ML",,Pharmaceutical preparation
Aloxi Solution 250 mg / 5 ml,"250 MG, 5 ML",Serotonin 5-HT3 Antagonist,Ondansetron
Alpha Chymotrypsin 3,,Pharmacological Agent,Chymotrypsin
Alpha Chymotrypsin 5 Mg 3+3 Amp 3 Ml,"5 MG, 3 ML, 3 ML",,Pharmaceutical preparation
Alphabrinzima Eye Drops 5 Ml,"5 ML, 5 ML",,Ophthalmic/otic drops
Alphafen 600 Mg 20 Tab,600 MG,,Oral tablet formulation
Alphafen 600 mg 30,600 MG,"Pain relief, Anti-inflammatory",Ibuprofen
Alphaflatul 100 ml,100 ML,Pharmacological Agent,Simethicone
Alphaflatul 120 ml,120 ML,Pharmacological Agent,Simethicone
Alphalipo 600 mg 20 Film Coated,600 MG,Pharmacological Agent,Alpha-lipoic acid
Alphamylase 60 Mg / 10 Ml Syrup 80 Ml,"60 MG, 10 ML, 80 ML, 10 ML, 80 ML",,Oral liquid formulation
Alphanova 0.15% Eye Drops 5 Ml,"5 ML, 5 ML, 0.15%",,Ophthalmic/otic drops
Alphanova Plus Eye Drops 5 Ml,"5 ML, 5 ML",,Ophthalmic/otic drops
Alphavim 300 Mg 20 Cap (400607) (New),300 MG,,Oral capsule formulation
Alphavim 300 Mg 30 Cap,300 MG,,Oral capsule formulation
Alphavim 600 Mg 20 Cap (431088) (New),600 MG,,Oral capsule formulation
Alphavim 600 Mg 30 Cap,600 MG,,Oral capsule formulation
Alphintern 30 Tab,,,Oral tablet formulation
Altiazem 60 mg 40,60 MG,Calcium Channel Blocker,Diltiazem
Alunbrig 90 mg 28 Film Coated,90 MG,Pharmacological Agent,Brigatinib
Alveobreeze 12 mcg 30,12 MCG,Beta2-agonist Bronchodilator,Salbutamol
Alveofact 45 mg/ml Vial (54 mg) (Fridge),"45 MG, 54 MG",Pharmacological Agent,Phospholipids
Alveolin - P Syrup 100 Ml,"100 ML, 100 ML",,Oral liquid formulation
Alveolin Syrup 100 Ml,"100 ML, 100 ML",,Oral liquid formulation
Alveorest Syurp 120 ml,120 ML,Pharmacological Agent,Organic agave syrup + English ivy leaf extract
Alverinspasm 24 Cap,,,Oral capsule formulation
Alvi Candy (Chocolate) 10 Pieces,,,Pharmaceutical preparation
Alvital Iron,,Nutritional supplement,Iron supplement
Alvital Iron Syrup 120 Ml,"120 ML, 120 ML",Iron Supplement,Iron - Essential mineral for blood formation
Alzac 10 mg 20,10 MG,SSRI Antidepressant,Fluoxetine
Alzental 20 Mg / Ml Susp 20 Ml,"20 MG, 20 ML, 20 ML",,Pharmaceutical preparation
Alzental 200 Mg 2 Tab ( 93639 ),200 MG,,Oral tablet formulation
Alzental 200 Mg 6 Tab ( 31143 ),200 MG,,Oral tablet formulation
Alzepizil 10 mg 14,10 MG,Pharmacological Agent,Donepezil HCl
Alzixa 10 mg 30,10 MG,Pharmacological Agent,Memantine Hydrochloride
Alzmenda 10 mg / gm Oral,10 MG,Pharmacological Agent,Memantine hydrochloride
Alzmenda 10 Mg / Gm Oral Drops 20 Ml,"10 MG, 20 ML, 20 ML",,Ophthalmic/otic drops
Alzmenda 10 Mg 21 Tab,10 MG,,Oral tablet formulation
Alzmenda 20 mg 21,20 MG,Pharmacological Agent,Memantine hydrochloride
Alzmenda 5 mg 14,5 MG,Pharmacological Agent,Memantine hydrochloride
Amaglust 30 Mg / 2 Mg 30 Tab,"30 MG, 2 MG",,Oral tablet formulation
Amaglust 30 Mg / 4 Mg 30 Tab,"30 MG, 4 MG",,Oral tablet formulation
Amaglust 30 mg /2 mg 30,"30 MG, 2 MG, 30 MG + 2 MG",Pharmacological Agent,Glimepiride + Metformin
Amaryl - M - 2 Mg / 500 Mg 30 Tab,"2 MG, 500 MG",,Oral tablet formulation
Amaryl 1 mg 30,1 MG,Pharmacological Agent,Glimepiride
Amaryl 2 mg 30,2 MG,Pharmacological Agent,Glimepiride
Amaryl 3 mg 30,3 MG,Pharmacological Agent,Glimepiride
Amaryl 4 mg 30,4 MG,Pharmacological Agent,Glimepiride
Amavarol 300000 IU 1 Ampoule ? 1 ml,"1 ML, 300000 IU","Bone health, Calcium absorption",Vitamin D3
Amazon Cal 30 Film Coated,,Nutritional supplement,Calcium supplement
Ambezim - G 30 Tab,,,Oral tablet formulation
Ambisome 50 Mg I.v. 1 Vial,50 MG,,Parenteral formulation
Ambropro 20 mg - Lemon Flavor 200 Lozenges,20 MG,Pharmacological Agent,Ambroxol
Ambropro 20 Mg 20 Lozenges (2St.) (Lemon),20 MG,,Pharmaceutical preparation
Ambropro 20 Mg 200 Lozenges (20St.) (Lemon),20 MG,,Pharmaceutical preparation
Ambroxol 15 Mg / 5 Ml Syrup 120 Ml,"15 MG, 5 ML, 120 ML, 5 ML, 120 ML",,Oral liquid formulation
Ambroxol 7.5 Mg Oral Drops 15 Ml,"7.5 MG, 15 ML, 15 ML",,Ophthalmic/otic drops
Ambroxol Oral 7.5 mg/ml Oral,7.5 MG,Pharmacological Agent,Ambroxol
Amebazole 1 gm 2,1 G,Nitroimidazole Antibiotic,Metronidazole
Ameropem 1000 mg (I.V) 1 Vial,1000 MG,Pharmacological Agent,Meropenem
Ameropem 500 mg ( I.V ) Vial,500 MG,Pharmacological Agent,Meropenem
Amigraine 30,"300 mg, 1 mg, 100 mg","Stimulant, Pain relief enhancement",Ergotamine Tartrate 1 mg + Caffeine 100 mg + Analgin (Metamizole Sodium) 300 mg
Amigrawest 2.5 Mg 4 Tab,2.5 MG,,Oral tablet formulation
Amikacin 250 Mg Spray 100 Ml,"250 MG, 100 ML, 100 ML",,Spray formulation
Amikacin 500 mg / 2 ml 1 Vial,"500 MG, 2 ML",Pharmacological Agent,Amikacin
Amikacin 500 mg 1 Vial,500 MG,Pharmacological Agent,Amikacin
Amikaskiv 500 mg/2 ml 1 Vial,"500 MG, 2 ML",Pharmacological Agent,Amikacin
Amilo 5 mg 30,5 MG,Calcium Channel Blocker,Amlodipine
Amino X (Blue Raspberry) 435 Gm Powder,"435 G, 435 G",,Pharmaceutical preparation
Aminorenocare 100,,Nutritional supplement,Calcium ketoanalogues + L-Amino acids (renal care supplement)
Aminoven 10% IV Infusion 500 ml,"500 ML, 10%",Pharmacological Agent,Amino acid solution
Aminoven Infant 10% IV Infusion 100 ml,"100 ML, 10%",Pharmacological Agent,Amino acid solution
Amiparen Infusion 250 ml,250 ML,Pharmacological Agent,Parenteral nutrition solution
Amiparen Infusion 500 ml,500 ML,Pharmacological Agent,Parenteral nutrition solution
Amipride 200 mg 30,200 MG,Pharmacological Agent,Amisulpride
Amipride 400 Mg 20 Tab,400 MG,,Oral tablet formulation
Amipride 50 Mg 20 Tab,50 MG,,Oral tablet formulation
Amipride 50 Mg 30 Tab (196661),50 MG,,Oral tablet formulation
Amiprostone 24 Mcg 20 Cap (431454),24 MCG,,Oral capsule formulation
Amiprostone 24 mcg 30,24 MCG,Pharmacological Agent,Misoprostol
Amiprostone 24 Mcg 30 Cap (321563),24 MCG,,Oral capsule formulation
Amiprostone 8 mcg 20,8 MCG,Pharmacological Agent,Misoprostol
Amiprostone 8 Mcg 20 Cap,8 MCG,,Oral capsule formulation
Amitriptine 50 mg 30,50 MG,Pharmacological Agent,Amitriptyline
Amlodipine 10 mg 20,10 MG,Calcium Channel Blocker,Amlodipine
Amlodipine 5 mg 30,5 MG,Calcium Channel Blocker,Amlodipine
Amlosazide 10 / 25 / 40 Mg 30 Tab (385218),40 MG,,Oral tablet formulation
Amlosazide 10 mg/25 mg/40 mg 30,"10 MG, 25 MG, 40 MG, 10 MG + 25 MG",Calcium Channel Blocker,Amlodipine + Hydrochlorothiazide + Losartan
Amlosazide 5 / 12.5 / 20 Mg 20 Tab (400609),20 MG,,Oral tablet formulation
Amlosazide 5 / 12.5 / 20 Mg 30 Tab (385234),20 MG,,Oral tablet formulation
Amlosazide 5 / 12.5 / 40 Mg 30 Tab,40 MG,,Oral tablet formulation
Amlosazide 5 / 25 / 40 Mg 30 Tab (385219),40 MG,,Oral tablet formulation
Amlosazide 5 mg/25 mg/40 mg 30,"5 MG, 25 MG, 40 MG, 5 MG + 25 MG",Calcium Channel Blocker,Amlodipine + Hydrochlorothiazide + Losartan
Amlosazide 5/12.5/20 mg 30,20 MG,Calcium Channel Blocker,Amlodipine + Hydrochlorothiazide + Losartan
Amlosazide 5/12.5/40 mg 30,40 MG,Calcium Channel Blocker,Amlodipine + Hydrochlorothiazide + Losartan
Amloveran 10 / 10 Mg 30 Tab,10 MG,,Oral tablet formulation
Amloveran 10/10 mg 30,10 MG,Calcium Channel Blocker,Amlodipine + Lisinopril
Amloveran 5 / 5 Mg 30 Tab,5 MG,,Oral tablet formulation
Amloveran 5/5 mg 30,5 MG,Calcium Channel Blocker,Amlodipine + Lisinopril
Amloveran Plus 10 / 2.5 / 10 mg 30,10 MG,Calcium Channel Blocker,Amlodipine + Lisinopril
Amloveran Plus 5 / 1.25 / 5 mg 30,5 MG,Calcium Channel Blocker,Amlodipine + Lisinopril
Ammoria Rejuvenating 30 Gm Cream,"30 G, 30 G",,Topical cream formulation
Amocerebral Plus 30,"40 mg, 20 mg",Pharmacological Agent,Cinnarizine 20 mg + Dimenhydrinate 40 mg
Amocomb Cream 15 gm,15 G,Pharmacological Agent,Neomycin + Nystatin + Gramicidin + Dexamethasone
Amophage 500 mg 30,500 MG,"Diabetes, Blood sugar control",Metformin
Amophage Extra 500 Mg / 5 Mg 30 Tab,"500 MG, 5 MG",,Oral tablet formulation
Amosar 100 Mg 30 Tab,100 MG,,Oral tablet formulation
Amosar 50 Mg 30 Tab (170748),50 MG,,Oral tablet formulation
Amosar Forte 100 / 25 Mg 30 Tab,25 MG,,Oral tablet formulation
Ampiava 750 Mg 30 Tab,750 MG,,Oral tablet formulation
Ampicillin 500 mg 12,500 MG,Beta-lactam Antibiotic,Ampicillin
Ampofer 100 Mg / 5 Ml I.v. 5 Amp,"100 MG, 5 ML, 5 ML",,Pharmaceutical preparation
Amri - K - 10 Mg / 1 Ml 5 Amp,"10 MG, 1 ML, 1 ML",,Pharmaceutical preparation
Amri- K 10 mg/ml 5,10 MG,Nutritional supplement,Vitamin K1 (Phytomenadione)
Amrizole 125 Mg / 5 Ml Susp 120 Ml#,"125 MG, 5 ML, 120 ML, 5 ML, 120 ML",,Pharmaceutical preparation
Amrizole 125 mg / 5 ml Suspension 120 ml,"125 MG, 5 ML, 120 ML",Nitroimidazole Antibiotic,Metronidazole
Amrizole 250 Mg 20 Tab,250 MG,,Oral tablet formulation
Amrizole 500 Mg / 100 Ml I V 1 Vial,"500 MG, 100 ML, 100 ML",,Parenteral formulation
Amrizole 500 Mg 20 Tab,500 MG,,Oral tablet formulation
Amrizole 500 mg Vial 100 ml,"500 MG, 100 ML",Nitroimidazole Antibiotic,Metronidazole
Amvasc 5 mg 30,5 MG,Calcium Channel Blocker,Amlodipine
Amvasc 5 Mg 30 Cap,5 MG,,Oral capsule formulation
Anadar 30 Cap,,,Oral capsule formulation
Anaforten Hair Cond. Mask 300 Gm,"300 G, 300 G",,Pharmaceutical preparation
Anaforten Lotion Spray 120 Ml,"120 ML, 120 ML",,Spray formulation
Anafronil - Sr 75 Mg 20 Tab #,75 MG,,Oral tablet formulation
Anafronil 25 mg 30,25 MG,Pharmacological Agent,Clomipramine
Anafronil 25 Mg 30 Tab #,25 MG,,Oral tablet formulation
Anallerge 2 Mg / 5 Ml Syrup 100 Ml,"2 MG, 5 ML, 100 ML, 5 ML, 100 ML",,Oral liquid formulation
Anallerge 4 Mg 60 Tab,4 MG,,Oral tablet formulation
Anapramine 25 mg 30,25 MG,SSRI Antidepressant,Fluoxetine
Anapramine 50 mg 30,50 MG,SSRI Antidepressant,Fluoxetine
Anarcol 50 mg 30,50 MG,Pharmacological Agent,Naltrexone HCl
Anaseziago Cream 30 gm,30 G,Pharmacological Agent,Lidocaine + Prilocaine
Anastronate 1 mg 28 Film Coated,1 MG,Pharmacological Agent,Anastrozole
Anastrozol 1 mg 30,1 MG,Pharmacological Agent,Anastrozole
Anastrozol Sandoz 1 Mg 30 Tab,1 MG,,Oral tablet formulation
Anastrozol Synthon 1 mg 28,1 MG,Pharmacological Agent,Anastrozole
Ancavaz 5 mg / 5 mg 20,"5 MG, 5 MG + 5 MG",Calcium Channel Blocker,Amlodipine + Lisinopril
Andequepine 200 mg 20,200 MG,Anticonvulsant,Carbamazepine
Ando 14 Sachets,,Nutritional supplement,Iron supplement + Immunity enhancer
Andocandoxin 200 mg 3 Vaginal,200 MG,Lincosamide Antibiotic,Clindamycin
Andocandoxin 600 mg 1 Vaginal Capsule,600 MG,Lincosamide Antibiotic,Clindamycin
Andocholest 625 mg 30,625 MG,Pharmacological Agent,Colesevelam Hydrochloride
Andodaricin 7.5 Mg 20 Tab,7.5 MG,,Oral tablet formulation
Andoderma Extra Emollient 50 Ml Gel,"50 ML, 50 ML",,Topical gel formulation
Andoflozin XR 12.5 mg / 1000 mg 20 Extended Release Film Coated,"12.5 MG, 1000 MG, 12.5 MG + 1000 MG",Pharmacological Agent,Empagliflozin + Metformin
Andoflozin XR 25 mg / 1000 mg 20 Extended Release Film Coated,"25 MG, 1000 MG, 25 MG + 1000 MG",Pharmacological Agent,Empagliflozin + Metformin
Andogonium,13.3 mg,Pharmacological Agent,Pelargonium Sidoides Powder Extract 13.3 mg / 5 ml
Andomatoid (Olumiant) 4 Mg 28 Tab,4 MG,,Oral tablet formulation
Andopentene 300 Mg 20 Tab,300 MG,,Oral tablet formulation
Andopentene 600 Mg 20 Tab,600 MG,,Oral tablet formulation
Andorasirox 360 Mg 20 Tab,360 MG,,Oral tablet formulation
Andorivaban 10 Mg 20 Tab,10 MG,,Oral tablet formulation
Andorivaban 15 Mg 20 Tab,15 MG,,Oral tablet formulation
Andorivaban 2.5 Mg 20 Tab,2.5 MG,,Oral tablet formulation
Andorivaban 20 Mg 20 Tab,20 MG,,Oral tablet formulation
Andouristat 80 Mg 20 Tab,80 MG,,Oral tablet formulation
Andovimpamide 100 Mg 30 Tab (110654),100 MG,,Oral tablet formulation
Andovimpamide 50 Mg 30 Tab (344909),50 MG,,Oral tablet formulation
Andovit Iron Plus Suspension 100 ml,100 ML,Nutritional supplement,Iron supplement
Anexate 0.5 mg IV 5,0.5 MG,Pharmacological Agent,Flumazenil
Angiflash Sore Throat Spray 20 ml,2.2%,Pharmacological Agent,Seawater 2.2% + Vegetable glycerin + Natural mint + Acacia honey + Propolis extract + Essential oils
Angioblock Mono 75 Mg 21 Tab,75 MG,,Oral tablet formulation
Angiofox 20 mg 20,20 MG,Pharmacological Agent,Isosorbide-5-mononitrate
Angiofox 25 mg 30,25 MG,Pharmacological Agent,Isosorbide-5-mononitrate
Angiofox 25 Mg 30 Cap,25 MG,,Oral capsule formulation
Angiofox 40 Mg 20 Tab,40 MG,,Oral tablet formulation
Angiofox 50 mg 20,50 MG,Pharmacological Agent,Isosorbide-5-mononitrate
Angiofox 50 Mg 20 Cap,50 MG,,Oral capsule formulation
Angiosartan 10 mg 28,10 MG,Pharmacological Agent,Olmesartan medoxomil
Angiosartan 20 mg 28,20 MG,Pharmacological Agent,Olmesartan medoxomil
Angiosartan 40 mg 28,40 MG,Pharmacological Agent,Olmesartan medoxomil
Angiosartan Plus 20 mg/ 12.5 mg 28,"20 MG, 12.5 MG, 20 MG + 12.5 MG",Pharmacological Agent,Olmesartan medoxomil
Angiosartan Plus 20 mg/ 25 mg 28,"20 MG, 25 MG, 20 MG + 25 MG",Pharmacological Agent,Olmesartan medoxomil
Angiosartan Plus 20 Mg/12.5 Mg 28 Tab,"20 MG, 12.5 MG",,Oral tablet formulation
Angiosartan Plus 20 Mg/25 Mg 28 Tab,"20 MG, 25 MG",,Oral tablet formulation
Angiosartan Plus 40 mg / 25 mg 28,"40 MG, 25 MG, 40 MG + 25 MG",Pharmacological Agent,Olmesartan medoxomil
Angiosartan Plus 40 mg /12.5 mg 28,"40 MG, 12.5 MG, 40 MG + 12.5 MG",Pharmacological Agent,Olmesartan medoxomil
Angiosartan Plus 40 Mg/12.5 Mg 28 Tab,"40 MG, 12.5 MG",,Oral tablet formulation
Aniracetam 1500 mg ? 10 Sachets,1500 MG,Pharmacological Agent,Aniracetam
Anoro Ellipta 62.5 / 25 Mcg 30 Doses Inhaler,25 MCG,,Pharmaceutical preparation
Anoro Ellipta 62.5/25 mcg Inhaltion 30 Doses,25 MCG,Pharmacological Agent,Umeclidinium + Vilanterol
Anoxicam 20 Mg 10 Supp,20 MG,,Rectal suppository formulation
Anoxicam 20 mg 10 Suppositories (Fridge),20 MG,Pharmacological Agent,Piroxicam
Anoxicam 20 mg 20,20 MG,Pharmacological Agent,Piroxicam
Anselacox 120 Mg 10 Tab,120 MG,,Oral tablet formulation
Anselacox 30 Mg 10 Tab,30 MG,,Oral tablet formulation
Anselacox 60 Mg 30 Tab,60 MG,,Oral tablet formulation
Anselacox 90 Mg 30 Tab,90 MG,,Oral tablet formulation
Anthzon 320 mg 7,320 MG,Pharmacological Agent,Gemifloxacin
Anti - Cox Ii 15 Mg / 3 Ml 6 Amp #,"15 MG, 3 ML, 3 ML",,Pharmaceutical preparation
Anti - Cox Ii 15 Mg 10 Supp,15 MG,,Rectal suppository formulation
Anti - Cox II 15 mg 30,15 MG,"NSAID, Analgesic",Meloxicam
Anti - Cox II 7.5 mg 20,7.5 MG,"NSAID, Analgesic",Meloxicam
Anti - Cox Ii 7.5 Mg 20 Cap,7.5 MG,,Oral capsule formulation
Anti-RH Rhophylac 300 mcg (Fridge),300 MCG,Pharmacological Agent,Anti-D immunoglobulin
Antichol 10 mg 30 Film Coated,10 MG,Pharmacological Agent,Trihexyphenidyl
Antidial Probiotic 10 Cap,,,Oral capsule formulation
Antidiazox 100 mg / 5 ml Powder For Oral Suspension 60 ml,"100 MG, 5 ML, 60 ML",Nitroimidazole Antibiotic,Metronidazole
Antidiazox 100 Mg / 5 Ml Susp 60 Ml,"100 MG, 5 ML, 60 ML, 5 ML, 60 ML",,Pharmaceutical preparation
Antidiazox 500 mg 12,500 MG,Nitroimidazole Antibiotic,Metronidazole
Antiflam 50 Mg 20 Tab,50 MG,,Oral tablet formulation
Antiflu 20 Cap,,Influenza Treatment,Oral capsule formulation
Antinal 200 Mg 24 Cap #,200 MG,,Oral capsule formulation
Antinal 220 Mg / 5 Ml Susp 60 Ml #,"220 MG, 5 ML, 60 ML, 5 ML, 60 ML",,Pharmaceutical preparation
Antiver 100 Mg / 5 Ml Susp 30 Ml,"100 MG, 5 ML, 30 ML, 5 ML, 30 ML",,Pharmaceutical preparation
Antiver 100 mg 120,100 MG,Pharmacological Agent,Mebendazole
Antodine 10 mg 10,10 MG,H2 Blocker,Famotidine
Antodine 10 Mg 10 Chew Tab,10 MG,,Oral tablet formulation
Antodine 20 mg / 2 ml 3,"20 MG, 2 ML",H2 Blocker,Famotidine
Antodine 20 mg / 2 ml 6,"20 MG, 2 ML",H2 Blocker,Famotidine
Antodine 20 Mg 30 Tab,20 MG,,Oral tablet formulation
Antodine 40 Mg 30 Tab,40 MG,,Oral tablet formulation
Antopral 20 mg 14,20 MG,Proton Pump Inhibitor,Pantoprazole
Antopral 40 Mg 14 Tab,40 MG,,Oral tablet formulation
Antopral 40 Mg I.v. 1 Vial,40 MG,,Parenteral formulation
Antox 30 Tab,,,Oral tablet formulation
Anuva 50 mg 10,50 MG,"Pain relief, Anti-inflammatory",Diclofenac
Anuva 50 Mg 10 Disp. Tab #,50 MG,,Oral tablet formulation
Anviziram 200 Mg 40 Tab,200 MG,,Oral tablet formulation
Anviziram 200 Mg 40 Tab + Selestoc 30 Tab #,200 MG,,Oral tablet formulation
Anzoptima 665 Mg 24 Tab,665 MG,,Oral tablet formulation
Apetoid 20 mg 30,20 MG,Pharmacological Agent,Leflunomide
Apexidone 0.5 Mg 30 Tab,0.5 MG,,Oral tablet formulation
Apexidone 1 Mg / Ml Syrup 100 Ml,"1 MG, 100 ML, 100 ML",,Oral liquid formulation
Apexidone 1 Mg 20 Tab,1 MG,,Oral tablet formulation
Apexidone 2 Mg 20 Tab,2 MG,,Oral tablet formulation
Apexidone 3 Mg 30 Tab,3 MG,,Oral tablet formulation
Apexidone 4 Mg 30 Tab,4 MG,,Oral tablet formulation
Aphrofemine 100 mg 30,100 MG,Pharmacological Agent,Flibanserin
Apidone Syrup 125 Ml,"125 ML, 125 ML",,Oral liquid formulation
Apidra 100 U / Ml 5 Cartridges 3 Ml,"3 ML, 3 ML",,Pharmaceutical preparation
Apidra Solo Star 5 Pens 300 IU (Fridge),300 IU,Insulin,Insulin glulisine
Apidra Solostar 100 U / Ml 5 Pens 3 Ml,"3 ML, 3 ML",,Pharmaceutical preparation
Apifortyl 30,,Nutritional supplement,Royal Jelly Concentrate + Multivitamin + Minerals
Apifortyl 30 Cap ( Soft),,,Oral capsule formulation
Apilipex 10 mg 30,10 MG,"Antipsychotic, Bipolar disorder, Schizophrenia",Aripiprazole
Apilipex 30 Mg 30 Tab,30 MG,,Oral tablet formulation
Apilipex 5 mg 30,5 MG,"Antipsychotic, Bipolar disorder, Schizophrenia",Aripiprazole
Apipe 10 Mg Odt 30 Tab,10 MG,,Oral tablet formulation
Apipe 15 Mg Odt 30 Tab,15 MG,,Oral tablet formulation
Apixa Track 2.5 mg 30,2.5 MG,Direct Factor Xa Inhibitor,Apixaban
Apixa Track 5 mg 30,5 MG,Direct Factor Xa Inhibitor,Apixaban
Apixaguard 2.5 mg 30 Film Coated,2.5 MG,Direct Factor Xa Inhibitor,Apixaban
Apixaguard 5 mg 30 Film Coated,5 MG,Direct Factor Xa Inhibitor,Apixaban
Apixatrack 2.5 Mg 30 Tab,2.5 MG,,Oral tablet formulation
Apixatrack 5 Mg 30 Tab (378644),5 MG,,Oral tablet formulation
Apple - Lite 30 Tab,,,Oral tablet formulation
Apremilast 30 mg 28 Film Coated,30 MG,Pharmacological Agent,Apremilast
Aprovel 150 Mg 14 Tab,150 MG,,Oral tablet formulation
Aprovel 150 mg 28 Film Coated,150 MG,Pharmacological Agent,Irbesartan
Aprovel 300 mg 14,300 MG,Pharmacological Agent,Irbesartan
Aqua B 30 Sublingual,,Nutritional supplement,Vitamin B complex
Aqua Collo Syrup 120 Ml,"120 ML, 120 ML",,Oral liquid formulation
Aqua Ice Complex Gel 100 Ml,"100 ML, 100 ML",,Topical gel formulation
Aqua Ice Complex Spray 150 Ml,"150 ML, 150 ML",,Spray formulation
Aqua Plus Syrup 100 Ml,"100 ML, 100 ML",,Oral liquid formulation
Aquacare 50 Gm Gel,"50 G, 50 G",,Topical gel formulation
Aqualarm Intensive Ud 0.2% Eye Drops 30 X 0.5 Ml,"0.5 ML, 0.5 ML, 0.2%",,Ophthalmic/otic drops
Aqualarm U.p Intensive 0.24% Eye Drops 10 Ml,"10 ML, 10 ML, 0.24%",,Ophthalmic/otic drops
Arab D3 10.000 I.u. 30 Cap,10.000 MG,,Oral capsule formulation
Arab D3 30 Soft Gelatin,,"Bone health, Calcium absorption",Vitamin D3
Arab Omega 30 Soft Gelatin,,Pharmacological Agent,Omega-3 fatty acids
Arabcal 30,,Nutritional supplement,Calcium supplement
Arabcovit 10.000 I.u. 30 Cap,10.000 MG,,Oral capsule formulation
Arabzinc 30,,"Immune support, Wound healing",Zinc sulfate
Arabzinc 50 Mg 30 Tab,50 MG,Mineral Supplement,Zinc - Essential mineral for immune function
Aranesp 100 Mcg / 0.5 Ml 4 Syring,"100 MCG, 0.5 ML, 0.5 ML",,Pharmaceutical preparation
Aranesp 100 mcg Prefilled Syringe (Fridge),100 MCG,Pharmacological Agent,Darbepoetin alfa
Aranesp 150 Mcg / 0.3 Ml 4 Syring,"150 MCG, 0.3 ML, 0.3 ML",,Pharmaceutical preparation
Aranesp 150 mcg Prefilled Syringe (Fridge),150 MCG,Pharmacological Agent,Darbepoetin alfa
Aranesp 30 Mcg / 0.3 Ml 4 Syring,"30 MCG, 0.3 ML, 0.3 ML",,Pharmaceutical preparation
Aranesp 30 mcg 1 Prefilled Syringe (Fridge),30 MCG,Pharmacological Agent,Darbepoetin alfa
